DriverNumber,Driver,AvgLapTime,InitialPosition,FinalPosition,AvgSector1,AvgSector2,AvgSector3,LapTimeSTD
1,VER,109.766,6.0,6.0,20.697025,36.836129,22.083246,273.561
10,GAS,112.055,10.0,10.0,21.203157,37.584736,22.239736,277.306
11,PER,,18.0,2.0,,,,
14,ALO,112.998,16.0,11.0,21.30568,37.854893,21.98908,280.9
16,LEC,109.321,1.0,1.0,20.630168,36.920467,21.03375,270.991
18,STR,112.889,14.0,14.0,21.1362,37.53648,22.645626,279.708
2,SAR,113.111,17.0,15.0,21.264506,37.68488,22.22024,281.329
20,MAG,,15.0,4.0,,,,
22,TSU,111.668,8.0,8.0,21.132657,37.518394,22.223052,276.297
23,ALB,111.939,9.0,9.0,21.346368,37.625881,22.011815,276.985
24,ZHO,113.849,20.0,16.0,21.48684,37.920413,22.25356,282.341
27,HUL,,12.0,3.0,,,,
3,RIC,112.929,13.0,12.0,21.33872,37.798626,22.092133,280.256
31,OCO,,11.0,1.0,,,,
4,NOR,109.565,4.0,4.0,20.650818,36.988077,20.994934,272.315
44,HAM,109.84,7.0,7.0,20.897935,36.621948,22.047103,274.116
55,SAI,109.487,3.0,3.0,20.665116,36.976597,20.993368,271.71
63,RUS,109.697,5.0,5.0,20.95948,36.76148,21.95409,272.977
77,BOT,113.116,19.0,13.0,21.270506,37.74888,22.024533,281.898
81,PIA,109.436,2.0,2.0,20.602129,37.030779,21.027131,271.256
